nom	id	theme	v25	v2026
<Agenda>.Affiche	1000022880	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.AffichePériodePrécédente	1000022878	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.AffichePériodeSuivante	1000022896	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.AjouteRendezVous	1000022894	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.ChangeMode	1000022879	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.CouleurFond	1000022895	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.DateVisible	1000022915	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.HeureAffichée	1000022892	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.HeureOuvrable	1000022916	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.InfoXY	1000022889	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.ListeRendezVous	1000022886	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.Mode	1000022885	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.PlageSélectionnée	1000022883	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.Position	1000022897	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.SelectMoins	1000022882	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.SelectPlus	1000022881	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.SupprimeRendezVous	1000022877	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.SupprimeTout	1000022898	gestion des champs Agenda (syntaxe préfixée)	1	1
<Agenda>.VersiCalendar	1000022899	gestion des champs Agenda (syntaxe préfixée)	1	1
<Arbre>.Affiche	1000023421	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.Ajoute	1000023422	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.Cherche	1000023423	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.CopieElément	1000023424	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.DéplaceElément	1000023755	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.Déroule	1000023756	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.DérouleTout	1000023757	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.Enroule	1000023758	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.EnrouleTout	1000023759	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.EtatElément	1000023878	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.InfoXY	1000023760	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.Insère	1000023761	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.ListeFils	1000023762	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.Modifie	1000023763	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.Position	1000023764	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.RécupèreFils	1000023765	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.RécupèreIdentifiant	1000023766	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.Select	1000023767	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.SelectMoins	1000023768	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.SelectOccurrence	1000023769	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.SelectPlus	1000023770	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.Supprime	1000023771	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.SupprimeFils	1000023772	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.SupprimeTout	1000023773	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.Trie	1000023774	gestion des champs Arbre (syntaxe préfixée)	1	1
<Arbre>.TypeElément	1000023775	gestion des champs Arbre (syntaxe préfixée)	1	1
<AuthToken>.Déconnecte	1410090671	gestion des protocoles OAuth et OpenID (syntaxe préfixée)	0	1
<AuthToken>.RenouvelleToken	1000026285	gestion des protocoles OAuth et OpenID (syntaxe préfixée)	0	1
<AuthToken>.Révoque	1410090672	gestion des protocoles OAuth et OpenID (syntaxe préfixée)	0	1
<Bandeau défilant>.ArrêteDéfilement	1000022628	Bandeau défilant (syntaxe préfixée)	1	1
<Bandeau défilant>.Dernier	1000022630	Bandeau défilant (syntaxe préfixée)	1	1
<Bandeau défilant>.LanceDéfilement	1000022631	Bandeau défilant (syntaxe préfixée)	1	1
<Bandeau défilant>.Précédent	1000022627	Bandeau défilant (syntaxe préfixée)	1	1
<Bandeau défilant>.Premier	1000022629	Bandeau défilant (syntaxe préfixée)	1	1
<Bandeau défilant>.Suivant	1000022626	Bandeau défilant (syntaxe préfixée)	1	1
<Barre d'outils>.Attache	3020006	gestion des champs Barre d'outils (syntaxe préfixée)	1	1
<Barre d'outils>.Détache	3020008	gestion des champs Barre d'outils (syntaxe préfixée)	1	1
<Barre d'outils>.Position	3020007	gestion des champs Barre d'outils (syntaxe préfixée)	1	1
<Bouton segmenté>.Ajoute	1410090903	Bouton segmenté (syntaxe préfixée)	0	1
<Bouton segmenté>.Insère	1410090904	Bouton segmenté (syntaxe préfixée)	0	1
<Bouton segmenté>.Supprime	1410090905	Bouton segmenté (syntaxe préfixée)	0	1
<Bouton segmenté>.SupprimeTout	1410090906	Bouton segmenté (syntaxe préfixée)	0	1
