nom	id	theme
<Agenda>.Affiche	1000022880	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.AffichePériodePrécédente	1000022878	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.AffichePériodeSuivante	1000022896	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.AjouteRendezVous	1000022894	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.ChangeMode	1000022879	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.CouleurFond	1000022895	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.DateVisible	1000022915	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.HeureAffichée	1000022892	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.HeureOuvrable	1000022916	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.InfoXY	1000022889	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.ListeRendezVous	1000022886	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.Mode	1000022885	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.PlageSélectionnée	1000022883	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.Position	1000022897	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.SelectMoins	1000022882	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.SelectPlus	1000022881	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.SupprimeRendezVous	1000022877	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.SupprimeTout	1000022898	gestion des champs Agenda (syntaxe préfixée)
<Agenda>.VersiCalendar	1000022899	gestion des champs Agenda (syntaxe préfixée)
<Arbre>.Affiche	1000023421	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.Ajoute	1000023422	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.Cherche	1000023423	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.CopieElément	1000023424	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.DéplaceElément	1000023755	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.Déroule	1000023756	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.DérouleTout	1000023757	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.Enroule	1000023758	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.EnrouleTout	1000023759	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.EtatElément	1000023878	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.InfoXY	1000023760	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.Insère	1000023761	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.ListeFils	1000023762	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.Modifie	1000023763	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.Position	1000023764	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.RécupèreFils	1000023765	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.RécupèreIdentifiant	1000023766	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.Select	1000023767	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.SelectMoins	1000023768	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.SelectOccurrence	1000023769	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.SelectPlus	1000023770	gestion des champs Arbre (syntaxe préfixée)
<Arbre>.Supprime	1000023771	gestion des champs Arbre (syntaxe préfixée)
