id	titre	v25	v2026
9000054	Fonctions WLangage disponibles ou non en PHP	1	1
1011014	Fonctions du WLangage utilisables dans un état	1	1
2034012	Fonctions SQL permettant de gérer les données spatiales	0	1
2034005	Fonctions SQL utilisables dans les requêtes SQL	1	1
2034002	Fonctions mathématiques SQL	1	1
75130327	Fonctions Objet	1	1
1000019637	Fonctions non disponibles	0	1
1000022683	Fonctions Action	1	1
1000021603	Fonctions Action Bar	1	1
1000026264	Fonctions Affichage HTML	0	1
1000026323	Fonctions de gestion des champs d'affichage HTML (syntaxe préfixée)	0	1
1000019021	Fonctions Agenda	1	1
1000022884	Fonctions de gestion des champs Agenda (syntaxe préfixée)	1	1
3017004	Fonctions Animation	1	1
3018025	Fonctions Arbre	1	1
1000023876	Fonctions de gestion des champs Arbre (syntaxe préfixée)	1	1
1000022617	Fonctions Bandeau défilant	1	1
1000022632	Fonctions Bandeau défilant (syntaxe préfixée)	1	1
3020002	Fonctions Barre d'outils	1	1
3020009	Fonctions de gestion des champs Barre d'outils (syntaxe préfixée)	1	1
1410090900	Fonctions Bouton segmenté	0	1
1410090908	Fonctions Bouton segmenté (syntaxe préfixée)	0	1
1000015008	Fonctions Calendrier	1	1
1000017392	Fonctions Calendrier (syntaxe préfixée)	1	1
1410086597	Fonctions Caméra	1	1
1000019955	Fonctions Carte	1	1
1000022419	Fonctions de gestion du champ Carte (syntaxe préfixée)	1	1
1410091377	Fonctions Chat IA	0	1
1410086777	Fonctions Chat IA (syntaxe préfixée)	0	1
3083021	Fonctions Chemin de navigation	1	1
3083039	Fonctions de gestion des chemins de navigation (syntaxe préfixée)	1	1
3026002	Fonctions Combos	1	1
3026006	Fonctions de manipulation des champs Combo (syntaxe préfixée)	1	1
3030011	Fonctions Drag and Drop	1	1
1000026295	Fonctions Editeur HTML	0	1
1000026310	Fonctions de gestion du champ Editeur HTML (syntaxe préfixée)	0	1
1000023383	Fonctions Editeur d'images et variables WDPic	1	1
1000023434	Fonctions de gestion du champ Editeur d'images et des variables WDPic (syntaxe préfixée)	1	1
1410090410	Fonctions Editeur de code	0	1
1410090424	Fonctions de gestion du champ Editeur de code (syntaxe préfixée)	0	1
1410088562	Fonctions Editeur de diagrammes	0	1
1410089917	Fonctions de gestion des diagrammes (syntaxe préfixée)	0	1
1000022109	Fonctions FAA (Fonctionnalités Automatiques de l'Application)	1	1
1000020589	Fonctions Fenêtres internes	1	1
1000021854	Fonctions Fenêtres manipulables par l'utilisateur final	1	1
1000022336	Fonctions de manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
3039004	Fonctions Flux	1	1
1000020914	Fonctions Gantt	1	1
1000021141	Fonctions Gantt (syntaxe préfixée)	0	1
1410087383	Fonctions Grille	0	1
1410087421	Fonctions de manipulation des champs Grille (syntaxe préfixée)	0	1
3041006	Fonctions Groupware utilisateur	1	1
1000020613	Fonctions Interrupteur	1	1
1000021310	Fonctions de gestion des champs Interrupteur (syntaxe préfixée)	1	1
1410089375	Fonctions Kanban	0	1
1410089740	Fonctions de gestion des champs Kanban (syntaxe préfixée)	0	1
1000023466	Fonctions Lecteur PDF	1	1
1000023877	Fonctions de gestion du champ Lecteur PDF (syntaxe préfixée)	1	1
3049001	Fonctions Liste	1	1
1000017419	Fonctions de gestion des champs Liste, Liste image et Combo (syntaxe préfixée)	1	1
9000017	Fonctions MCU	1	1
3052003	Fonctions MDI	1	1
3052008	Fonctions MDI (syntaxe préfixée)	1	1
1000024887	Fonctions Masque	0	1
3038016	Fonctions Menu	1	1
1000020631	Fonctions de gestion des menus (syntaxe préfixée)	1	1
3054007	Fonctions Multilingue	1	1
1000015005	Fonctions Multimédia	1	1
1000020097	Fonctions multimédia (syntaxe préfixée)	1	1
1000022398	Fonctions Notes repositionnables	1	1
1000021391	Fonctions Onglet	1	1
1000021709	Fonctions de gestion des champs Onglet (syntaxe préfixée)	1	1
1000019817	Fonctions Organigramme	1	1
1000019986	Fonctions de gestion des champs Organigramme (syntaxe préfixée)	1	1
1410090991	Fonctions Palette	0	1
1410091008	Fonctions Palette (syntaxe préfixée)	0	1
1000024151	Fonctions Panneau dockable	1	1
1000009002	Fonctions Pilote	1	1
1000019435	Fonctions Planning	1	1
1000022917	Fonctions de gestion des champs Planning (syntaxe préfixée)	1	1
3025034	Fonctions RTF	1	1
1000020137	Fonctions Ruban	1	1
1000020616	Fonctions Sélecteur	1	1
1000021190	Fonctions de gestion des champs Sélecteur (syntaxe préfixée)	1	1
3074009	Fonctions Table	1	1
1000024319	Fonctions de gestion des champs Table (syntaxe préfixée)	1	1
1000010002	Fonctions Table hiérarchique	1	1
1000021941	Fonctions de gestion des champs Table hiérarchique (syntaxe préfixée)	1	1
1000020704	Fonctions Tableau croisé dynamique	1	1
1000022194	Fonctions de gestion des champs Tableau croisé dynamique (syntaxe préfixée)	1	1
1000021048	Fonctions Tableau de bord	1	1
1000022537	Fonctions de gestion des champs Tableau de bord (syntaxe préfixée)	1	1
1000021433	Fonctions Tableur	1	1
1000023883	Fonctions Tableur (syntaxe préfixée)	1	1
1000020621	Fonctions TimeLine	1	1
1000020783	Fonctions de gestion des champs TimeLine (syntaxe préfixée)	1	1
1000022618	Fonctions Traitement de texte	1	1
1000024544	Fonctions de gestion du champ Traitement de texte (syntaxe préfixée)	1	1
1000018995	Fonctions TreeMap	1	1
1000019801	Fonctions de gestion des champs TreeMap (syntaxe préfixée)	1	1
1000015003	Fonctions XAML	1	1
1000015011	Fonctions Xaml (syntaxe préfixée)	1	1
1000020215	Fonctions Zone multiligne	1	1
1000020220	Fonctions de gestion des champs Zone multiligne (syntaxe préfixée)	1	1
3083007	Fonctions Zones répétées	1	1
1000023945	Fonctions de gestion des champs Zone répétée (syntaxe préfixée)	1	1
3029033	Fonctions de dessin	1	1
1000024243	Fonctions de dessin et de traitement des images (syntaxe préfixée)	1	1
3029028	Fonctions de manipulation de chaînes graphiques	1	1
1000024067	Fonctions de gestion de la saisie assistée	1	1
1000024068	Fonctions de gestion de la saisie assistée (syntaxe préfixée)	1	1
1000026255	Fonctions de gestion de la saisie invalide	0	1
3025007	Fonctions de gestion des champs	1	1
3038012	Fonctions de gestion des fenêtres	1	1
1410088865	Fonctions de gestion des fenêtres (syntaxe préfixée)	0	1
3042003	Fonctions de gestion des graphes	1	1
1000024173	Fonctions de gestion des graphes (syntaxe préfixée)	1	1
1000024042	Fonctions de gestion des jetons	1	1
1000024048	Fonctions de gestion des jetons (syntaxe préfixée)	1	1
1000022793	Fonctions de gestion des ruptures	1	1
1000020865	Fonctions de recherche	1	1
3079003	Fonctions vidéo	1	1
1000022386	Fonctions Caméra/Vidéo (syntaxe préfixée)	1	1
1000017173	Fonctions Bluetooth	1	1
1000026326	Fonctions de gestion de la double authentification	0	1
1000022162	Fonctions BTLE	1	1
1000022224	Fonctions BTLE (syntaxe préfixée)	1	1
1000023427	Fonctions Beacon	1	1
1000006110	Fonctions Contact (Lotus Notes ou Android/iPhone/iPad)	1	1
1000020966	Fonctions DLNA/UPnP	1	1
1000021000	Fonctions DLNA / UPnP (syntaxe préfixée)	1	1
1000019406	Fonctions DNS	1	1
3031013	Fonctions Dotnet	1	1
1410090344	Fonctions Drive	0	1
1410090371	Fonctions de gestion des drives : OneDrive, Google Drive, Dropbox (syntaxe préfixée)	0	1
3040004	Fonctions FTP	1	1
1410091142	Fonctions FTP Standard (syntaxe préfixée)	0	1
1000021888	Fonctions Facebook	1	1
1000021947	Fonctions Facebook (syntaxe préfixée)	1	1
1000017389	Fonctions Flux RSS	1	1
1000017564	Fonctions de gestion des agendas Google	1	1
