nom	id	theme	description_v25
<btlePériphérique>.EtatConnexion	1000022202	BTLE (syntaxe objet)	Renvoie l'état actuel de la connexion avec un périphérique Bluetooth Low Energy ou demande à être prévenu en cas de changement de l'état de la connexi
<Champ Html>.ExécuteJS	1000024372		
<Connexion>.InfoBlocage	1000022774		
<Fenêtre/Page>.DepuisFichier	1000021387	liaison (syntaxe objet)	Initialise automatiquement les champs d'une fenêtre ou d'une page avec :les valeurs des rubriques associées dans l'enregistrement en cours (chargé en 
<Fenêtre/Page>.VersFichier	1000021385	liaison (syntaxe objet)	Initialise automatiquement :la valeur mémoire des rubriques d'un fichier de données avec la valeur des champs de la fenêtre ou de la page. Les rubriqu
<Fenêtre/Page>.VersSource	1000021386	liaison (syntaxe objet)	Initialise automatiquement : la valeur mémoire des rubriques d'un fichier de données avec la valeur des champs de la fenêtre ou de la page.la valeur d
<LecteurPDF>.Surligne	1000023545	gestion du champ Lecteur PDF (syntaxe objet)	Cherche un texte dans le document affiché par un champ Lecteur PDF et surligne les occurrences de ce texte dans le champ.
<Variable>.Ajoute	1000024295	gestion des tableaux (syntaxe objet)	Ajoute un élément en dernière position : d'un tableau WLangage à une dimension. d'une propriété tableau d'un type avancé (tableau des événements de gg
<Variable>.Insère	1000024296	gestion des tableaux (syntaxe objet)	Insère un élément à une position donnée : dans un tableau WLangage à une dimension. dans un tableau associatif. dans une propriété tableau d'un type a
<Variable>.Supprime	1000024297	gestion des tableaux (syntaxe objet)	Supprime un élément à une position donnée : dans un tableau WLangage à une dimension. dans une propriété tableau d'un type avancé (tableau des événeme
<Variable>.SupprimeTout	1000024298	gestion des tableaux (syntaxe objet)	Supprime tous les éléments : d'un tableau WLangage à une dimension ou deux dimensions. d'un tableau associatif. de la propriété tableau d'un type avan
<Variable docElément>.ChangeAltitude	1000024413	gestion du champ Traitement de texte (syntaxe objet)	Modifie l'altitude d'un élément de type Image ou de type Zone de texte dans un document DocX.
<Variable gglConnexion>.ListeAlbum	1000018564	gestion des albums Picasa (syntaxe objet)	Récupère la liste des albums "Google Picasa" disponibles pour l'utilisateur.
<Variable gglConnexion>.ListeCommentaire	1000018566	gestion des albums Picasa (syntaxe objet)	Récupère :la liste des commentaires enregistrés pour le compte client Google.la liste des commentaires associés à une photo d'un album Google Picasa.
<Variable gglConnexion>.ListePhoto	1000018567	gestion des albums Picasa (syntaxe objet)	Liste les photos des albums Google Picasa correspondant à certains critères.
<Variable gglConnexion>.ListeTag	1000018568	gestion des albums Picasa (syntaxe objet)	Récupère :la liste des tags associés à un compte client Google.la liste des tags associés à un album Google Picasa.la liste des tags associés à une ph
<Variable gglConnexion>.RécupèreAlbum	1000018569	gestion des albums Picasa (syntaxe objet)	Récupère un album Google Picasa.
<Variable gglConnexion>.RemplitAlbum	1000018571	gestion des albums Picasa (syntaxe objet)	Récupère dans un album Google Picasa, les données correspondantes aux options demandées.
<Variable gglConnexion>.RemplitPhoto	1000018570	gestion des albums Picasa (syntaxe objet)	Récupère dans un album Google Picasa, les données sur les photos correspondantes aux options demandées.
<Variable Tableau>.AjouteLigne	1000024300	gestion des tableaux (syntaxe objet)	Ajoute une ligne à la fin : d'un tableau WLangage à une ou deux dimensions. d'une propriété tableau d'un type avancé à deux dimensions (xlsDocument, .
<Variable Tableau>.AjouteTrié	1000024301	gestion des tableaux (syntaxe objet)	Ajoute un élément dans un tableau WLangage à une dimension en prenant en compte le critère de tri défini par la fonction <Variable Tableau>.Trie.
<Variable Tableau>.Cherche	1000024302	gestion des tableaux (syntaxe objet)	Cherche l'indice d'un élément dans un tableau WLangage.
<Variable Tableau>.ChercheParProcédure	1000024303	gestion des tableaux (syntaxe objet)	Recherche un élément dans un tableau WLangage à une dimension en utilisant une procédure de comparaison.
<Variable Tableau>.Copie	1000024304	gestion des tableaux (syntaxe objet)	Copie le contenu d'un tableau dans un autre.
<Variable Tableau>.Déplace	1000024305	gestion des tableaux (syntaxe objet)	Permet :de déplacer un élément dans un tableau WLangage à une dimension ou dans une propriété tableau d'un type avancé (tableau des événements de gglA
<Variable Tableau>.DéplaceLigne	1000024306	gestion des tableaux (syntaxe objet)	Permet :soit de déplacer une ligne dans un tableau à deux dimensions ou dans une propriété tableau d'un type avancé. Les autres lignes du tableau sont
<Variable Tableau>.EchangeLigne	1000024307	gestion des tableaux (syntaxe objet)	Permet d'échanger deux lignes dans un tableau à deux dimensions ou dans une propriété tableau d'un type avancé.
<Variable Tableau>.Info	1000024308	gestion des tableaux (syntaxe objet)	Renvoie les caractéristiques d'un tableau : type des éléments, nombre de dimensions, dimensions, ...
<Variable Tableau>.Insère	1000024309	gestion des tableaux (syntaxe objet)	Insère un élément à une position donnée :dans un tableau à une dimension.dans un tableau associatif.dans une propriété tableau d'un type avancé (table
<Variable Tableau>.InsèreLigne	1000024310	gestion des tableaux (syntaxe objet)	Insère une ligne à une position donnée : dans un tableau WLangage à deux dimensions.dans une propriété tableau d'un type avancé à deux dimensions (xls
<Variable Tableau>.Inverse	1000024311	gestion des tableaux (syntaxe objet)	Inverse le contenu d'un tableau à une dimension.
<Variable Tableau>.Mélange	1000024312	gestion des tableaux (syntaxe objet)	Mélange les éléments d’un tableau WLangage.
