nom	id	theme	description
<AuthToken>.Déconnecte	1410090671	gestion des protocoles OAuth et OpenID (syntaxe préfixée)	Déconnecte un utilisateur précédemment authentifié via le protocole OAuth 2.0 sur un service Web quelconque.
<AuthToken>.RenouvelleToken	1000026285	gestion des protocoles OAuth et OpenID (syntaxe préfixée)	Renouvelle un token OAuth2 d'un utilisateur si ce token est expiré.
<AuthToken>.Révoque	1410090672	gestion des protocoles OAuth et OpenID (syntaxe préfixée)	Révoque un token JWT.
<Bouton segmenté>.Ajoute	1410090903	Bouton segmenté (syntaxe préfixée)	Ajoute une nouvelle option (c'est-à-dire un nouveau bouton) dans un champ Bouton segmenté.
<Bouton segmenté>.Insère	1410090904	Bouton segmenté (syntaxe préfixée)	Insère une nouvelle option dans un champ Bouton segmenté.
<Bouton segmenté>.Supprime	1410090905	Bouton segmenté (syntaxe préfixée)	Supprime une option dans un champ Bouton segmenté.
<Bouton segmenté>.SupprimeTout	1410090906	Bouton segmenté (syntaxe préfixée)	Supprime toutes les options d'un champ Bouton segmenté.
<btlePéripherique>.Initialise	1410087649	BTLE (syntaxe préfixée)	Initialise un périphérique Bluetooth Low Energy sous Windows.
<Buffer>.AnsiVersUnicode	1000026033	gestion des chaînes de caractères (syntaxe préfixée)	Convertit un buffer contenant une chaîne de caractères au format ANSI (Windows) en un buffer contenant une chaîne de caractères au format UNICODE.
<Buffer>.UTF8Valide	1410090487	gestion des chaînes de caractères (syntaxe préfixée)	Teste la validité d'un buffer au format UTF8.
<Caméra>.Photo	1410087895		
<Caméra>.VidéoArrête	1410088061		
<Caméra>.VidéoDémarre	1410088106		
<Carte>.AffichePopup	1000025799	gestion du champ Carte (syntaxe préfixée)	Ouvre la popup d'un marqueur affiché dans un champ Carte.
<Carte>.AfficheZone	1000025800	gestion du champ Carte (syntaxe préfixée)	Déplace la carte affichée dans le champ Carte pour que la zone géographique spécifiée soit entièrement visible dans le champ.
<Carte>.AjouteCalque	1410091552	gestion du champ Carte (syntaxe préfixée)	Ajoute un nouveau calque à une carte à partir de l'URL d'un serveur de tuiles (non compatible Google Maps).
<Carte>.AjouteForme	1000025801	gestion du champ Carte (syntaxe préfixée)	Ajoute une nouvelle forme (polygone, ligne, cercle) sur la carte affichée dans un champ Carte.
<Carte>.AjouteImage	1000025802	gestion du champ Carte (syntaxe préfixée)	Ajoute une nouvelle image sur la carte affichée dans un champ Carte.
<Carte>.ChangeStyle	1000025797	gestion du champ Carte (syntaxe préfixée)	Modifie le style de la carte affichée dans le champ Carte.Attention : La gestion des styles de carte a été modifiée par Google. Cette fonction n'est p
<Carte>.FermePopup	1000025803	gestion du champ Carte (syntaxe préfixée)	Ferme la popup d'un marqueur affichée dans le champ Carte.
<Carte>.IdentifiantGgl	1410091156	gestion du champ Carte (syntaxe préfixée)	Renvoie ou modifie le style de la carte affichée dans le champ Carte. Ce style correspond à un ID de carte défini dans la console Google Cloud.
<Carte>.LimiteZone	1000025804	gestion du champ Carte (syntaxe préfixée)	Limite la zone géographique affichée dans le champ Carte.
<Carte>.ModifieForme	1000025805	gestion du champ Carte (syntaxe préfixée)	Modifie une forme dessinée sur la carte affichée dans un champ Carte.
<Carte>.ModifieImage	1000025818	gestion du champ Carte (syntaxe préfixée)	Modifie une image dessinée sur la carte affichée dans un champ Carte.
<Carte>.PopupAffichée	1000025819	gestion du champ Carte (syntaxe préfixée)	Permet de savoir si la popup d'un marqueur du champ Carte est affichée.
<Carte>.RécupèreStyle	1000025798	gestion du champ Carte (syntaxe préfixée)	Renvoie le style utilisé par la carte affichée dans le champ Carte.Attention : La gestion des styles de carte a été modifiée par Google. Cette fonctio
<Carte>.SupprimeCalque	1410091626	gestion du champ Carte (syntaxe préfixée)	Supprime un calque d'une carte affichée dans un champ Carte.
<Carte>.SupprimeForme	1000025820	gestion du champ Carte (syntaxe préfixée)	Supprime une forme dessinée sur la carte affichée dans un champ Carte.
<Carte>.SupprimeImage	1000025829	gestion du champ Carte (syntaxe préfixée)	Supprime une image dessinée sur la carte affichée dans un champ Carte.
<Chaîne ANSI>.AnsiVersOem	1000024891	gestion des chaînes de caractères (syntaxe préfixée)	Convertit une chaîne de caractères au format ANSI (Windows) en une chaîne de caractères au format OEM (DOS).
<Chaîne ANSI>.AnsiVersUnicode	1000024892	gestion des chaînes de caractères (syntaxe préfixée)	Convertit une chaîne de caractères au format ANSI (Windows) en une chaîne de caractères au format Unicode.
<Chaîne ANSI>.BufferVersHexa	1000024894	gestion des chaînes de caractères (syntaxe préfixée)	Convertit une chaîne Ansi ou Unicode en une chaîne hexadécimale affichable (par exemple : "4A 5B 00").
<Chaîne ANSI>.CaractOccurrenceType	1000024895	gestion des chaînes de caractères (syntaxe préfixée)	Renvoie le nombre de caractères vérifiant les informations de type données.
<Chaîne ANSI>.CommencePar	1000024901	gestion des chaînes de caractères (syntaxe préfixée)	Vérifie si une chaîne de caractères commence : soit par une chaîne de caractères spécifique. soit par une des chaînes de caractères présentes dans un 
<Chaîne ANSI>.Complète	1410089823	gestion des chaînes de caractères (syntaxe préfixée)	Renvoie une chaîne de caractères spécifique de taille déterminée.
<Chaîne ANSI>.Contient	1410089824	gestion des chaînes de caractères (syntaxe préfixée)	Permet de savoir si une sous-chaîne est contenue dans une chaîne.
<Chaîne ANSI>.Découpe	1000024902	gestion des chaînes de caractères (syntaxe préfixée)	Extrait toutes les sous-chaînes d'une chaîne de caractères en fonction d'un ou plusieurs séparateurs de chaînes.
<Chaîne ANSI>.Droite	1410089825	gestion des chaînes de caractères (syntaxe préfixée)	Extrait la partie droite (c'est-à-dire les derniers caractères) d'une chaîne de caractères ou d'un buffer.
<Chaîne ANSI>.ExtraitChaîne	1000024876	gestion des chaînes de caractères (syntaxe préfixée)	Permet de :extraire une sous-chaîne d'une chaîne de caractères en fonction d'un séparateur de chaîne donné.effectuer un parcours de sous-chaînes dans 
<Chaîne ANSI>.FinitPar	1000024903	gestion des chaînes de caractères (syntaxe préfixée)	Vérifie si une chaîne de caractères se termine : soit par une chaîne de caractères spécifique.soit par une des chaînes de caractères présentes dans un
<Chaîne ANSI>.Formate	1000024877	gestion des chaînes de caractères (syntaxe préfixée)	Formate une chaîne de caractères selon les options choisies.
<Chaîne ANSI>.Incrémente	1000024905	gestion des chaînes de caractères (syntaxe préfixée)	Incrémente un nombre situé en fin ou début d'une chaîne de caractères.
<Chaîne ANSI>.Insère	1000024906	gestion des chaînes de caractères (syntaxe préfixée)	Insère une chaîne dans une autre chaîne de caractères à une position donnée.
<Chaîne ANSI>.Inverse	1000024908	gestion des chaînes de caractères (syntaxe préfixée)	Inverse les caractères d'une chaîne.
<Chaîne ANSI>.RegexCherche	1410090616	gestion des chaînes de caractères (syntaxe préfixée)	Cherche toutes les parties d'une chaîne de caractères qui respectent un format donné.
<Chaîne ANSI>.RegexRemplace	1410090617	gestion des chaînes de caractères (syntaxe préfixée)	Remplace toutes les parties d'une chaîne qui respectent un format donné.
